Age,HeartDisease,MaxHR
28,0,
28,1,
29,0,21.939310229205773
29,1,
30,0,
30,1,
31,0,
31,1,
32,0,14.730919862656235
32,1,2.1213203435596424
33,0,
33,1,
34,0,17.23948955160796
34,1,18.384776310850235
35,0,14.008500820505216
35,1,12.274635093014645
36,0,5.0
36,1,24.748737341529164
37,0,26.74073048117173
37,1,
38,0,23.381616710569865
38,1,23.640873695591473
39,0,23.510226907258236
39,1,7.0710678118654755
40,0,36.4450009636177
40,1,24.038857432637407
41,0,20.00653488009597
41,1,23.200574705525437
42,0,18.93547942230091
42,1,15.947831618540915
43,0,18.09766949155722
43,1,11.942285452047352
44,0,23.092345274060197
44,1,25.372557353697452
45,0,21.433174108865728
45,1,9.291573243177572
46,0,24.46407384494474
46,1,18.099794587303034
47,0,18.403706924732
47,1,24.26857301869305
48,0,26.310248320125496
48,1,27.75367843487897
49,0,17.19851414770732
49,1,23.194043122397535
50,0,19.927140012829465
50,1,15.253895197008488
51,0,23.769728648009433
51,1,30.020151961799325
52,0,19.327669893947693
52,1,28.82970771242098
53,0,18.47494328575232
53,1,15.777319465733381
54,0,15.533331630219944
54,1,23.802132298940883
55,0,15.558239731068927
55,1,22.00922072908192
56,0,26.721258223100968
56,1,19.186974748511034
57,0,29.64678428062339
57,1,25.20552442498393
58,0,29.487192228059044
58,1,23.253605284560905
59,0,22.433740822090446
59,1,20.905490324115803
60,0,23.424270075531247
60,1,23.544246043123366
61,0,9.91463564635635
61,1,26.431333387012177
62,0,27.40255462543593
62,1,24.633852046861584
63,0,22.39366406991474
63,1,24.901545263732913
64,0,18.081824602411697
64,1,17.29519614007917
65,0,8.455767262643882
65,1,26.44527142897915
66,0,21.447610589527216
66,1,26.700276438733024
67,0,15.0996688705415
67,1,23.68096025899032
68,0,17.08800749063506
68,1,10.20620726159658
69,0,13.228756555322953
69,1,18.45595357119816
70,0,
70,1,22.096756926451146
71,0,20.074859899884732
71,1,4.949747468305833
72,0,
72,1,14.571661996262927
73,0,
73,1,
74,0,3.5355339059327378
74,1,13.601470508735444
75,0,
75,1,2.8284271247461903
76,0,
76,1,
77,0,
77,1,36.76955262170047
